HebValue	EngValue	Gender
אבי	Avi	Male
אביב	Aviv	Male
אבנר	Avner	Male
אברהם	Avraham	Male
אדם	Adam	Male
אהוד	Ehud	Male
אהרון	Aharon	Male
אופיר	Ofir	Male
אופק	Ofek	Male
אור	Or	Male
אורי	Ori	Male
אורן	Oren	Male
אייל	Eyal	Male
אילן	Ilan	Male
איתי	Itay	Male
איתמר	Itamar	Male
איתן	Eithan	Male
אלון	Alon	Male
אלי	Eli	Male
אליה	Eliah	Male
אליהו	Eliahu	Male
אליעזר	Eliezer	Male
אלירן	Eliran	Male
אלעד	Elad	Male
אלעזר	Elazar	Male
אמיר	Amir	Male
אמנון	Amnon	Male
אסף	Asaf	Male
אפרים	Efraim	Male
ארז	Erez	Male
אריאל	Ariel	Male
אריה	Arie	Male
אשר	Asher	Male
בועז	Boaz	Male
בן	Ben	Male
בנימין	Benjamin	Male
בר	Bar	Male
ברוך	Baruch	Male
ברק	Barak	Male
גבריאל	Gavriel	Male
גדעון	Gidon	Male
גולן	Golan	Male
גיא	Guy	Male
גיל	Gil	Male
גל	Gal	Male
גלעד	Gilad	Male
דב	Dov	Male
דוד	David	Male
דור	Dor	Male
דורון	Doron	Male
דן	Dan	Male
דניאל	Daniel	Male
דרור	Dror	Male
הראל	Harel	Male
הרצל	Hertzel	Male
זאב	Zeev	Male
חיים	Haim	Male
חן	Hen	Male
טל	Tal	Male
יאיר	Yair	Male
יגאל	Igal	Male
יהודה	Yehuda	Male
יהונתן	Yehonatan	Male
יהושע	Yehoshua	Male
יואב	Yoav	Male
יובל	Yuval	Male
יונתן	Jonathan	Male
יוסי	Yossi	Male
יוסף	Yosef	Male
יורם	Yoram	Male
יחזקאל	Yechezkel	Male
יחיאל	Yechiel	Male
יניב	Yaniv	Male
יעקב	Jacob	Male
יצחק	Itzhak	Male
ירון	Yaron	Male
יריב	Yariv	Male
ירין	Yarin	Male
ישראל	Israel	Male
כפיר	Kfir	Male
ליאור	Lior	Male
ליאם	Liam	Male
לירן	Liran	Male
מאור	Maor	Male
מאיר	Meir	Male
מיכאל	Michael	Male
מנחם	Menahem	Male
מרדכי	Mordechai	Male
משה	Moshe	Male
מתן	Matan	Male
נדב	Nadav	Male
נהוראי	Nehorai	Male
נועם	Noam	Male
נחום	Nahum	Male
ניסים	Nisim	Male
ניר	Nir	Male
נתן	Nathan	Male
נתנאל	Nethanel	Male
עדן	Eden	Male
עודד	Oded	Male
עומר	Omer	Male
עומרי	Omri	Male
עופר	Ofer	Male
עזרא	Ezra	Male
עידו	Ido	Male
עידן	Idan	Male
עילאי	Eli	Male
עמוס	Amos	Male
עמיקם	Amikam	Male
עמירם	Amiram	Male
עמית	Amit	Male
ערן	Eran	Male
פנחס	Pinhas	Male
צבי	Tzvi	Male
ציון	Tzion	Male
ראובן	Reuven	Male
רון	Ron	Male
רוני	Roni	Male
רונן	Ronen	Male
רועי	Roi	Male
רחמים	Rahamim	Male
רמי	Rami	Male
רן	Ran	Male
רפאל	Rafael	Male
